commune,organisme,email,adresse_mairie,code_postal,ville,url
Allouville-Bellefosse,Mairie - Allouville-Bellefosse,mairie.allouvillebellefosse@wanadoo.fr,Place Paul-Levieux,76190,Allouville-Bellefosse,https://lannuaire.service-public.gouv.fr/normandie/seine-maritime/3864978e-21c1-4384-b03d-823b62473385
Alvimare,Mairie - Alvimare,mairie.alvimare@wanadoo.fr,8 rue des Tilleuls,76640,Alvimare,https://lannuaire.service-public.gouv.fr/normandie/seine-maritime/6d0819ba-bb57-44d1-b86a-1bfbfb1a403f
Ambrumesnil,Mairie - Ambrumesnil,mairie@ambrumesnil.fr,608 rue de l'Ancienne-Mare,76550,Ambrumesnil,https://lannuaire.service-public.gouv.fr/normandie/seine-maritime/df0a71c5-197f-4f66-979b-7a2e2c8c63d3
Amfreville-la-Mi-Voie,Mairie - Amfreville-la-Mi-Voie,mairie@amfreville-la-mivoie.fr,5 place du Général-de-Gaulle,76920,Amfreville-la-Mi-Voie,https://lannuaire.service-public.gouv.fr/normandie/seine-maritime/93d670ed-1ad8-42b5-a46e-c32f3080b3bf
Amfreville-les-Champs,Mairie - Amfreville-les-Champs,mairie@amfrevilleleschamps76.fr,18 route de Berville,76560,Amfreville-les-Champs,https://lannuaire.service-public.gouv.fr/normandie/seine-maritime/874e90b6-6698-4948-81f3-0b4adccc4496
Anceaumeville,Mairie - Anceaumeville,anceaumeville.mairie@orange.fr,105 place Évode-Chevalier,76710,Anceaumeville,https://lannuaire.service-public.gouv.fr/normandie/seine-maritime/75ce14d3-9a2b-4770-970d-d9fd638857ed
Ancourt,Mairie - Ancourt,mairie.ancourt@wanadoo.fr,20 rue de la Mairie,76370,Ancourt,https://lannuaire.service-public.gouv.fr/normandie/seine-maritime/eda8d01a-b231-4ae8-a735-8cb18a6ab6dc
Ancourteville-sur-Héricourt,Mairie - Ancourteville-sur-Héricourt,mairie.ancourteville-sur-hericourt@cote-albatre.com,62 rue de l'Église,76560,Ancourteville-sur-Héricourt,https://lannuaire.service-public.gouv.fr/normandie/seine-maritime/381a1913-b490-441e-9395-a4f5f0153b0a
Ancretiéville-Saint-Victor,Mairie - Ancretiéville-Saint-Victor,commune-ancretieville@orange.fr,1 place de la Mairie,76760,Ancretiéville-Saint-Victor,https://lannuaire.service-public.gouv.fr/normandie/seine-maritime/bc0c80cd-621e-4dbc-9f13-afc6ae6e032b
Ancretteville-sur-Mer,Mairie - Ancretteville-sur-Mer,mairie-sg.ancrettevillesurmer@wanadoo.fr,369 rue de la Mairie,76540,Ancretteville-sur-Mer,https://lannuaire.service-public.gouv.fr/normandie/seine-maritime/2f34e9ad-68f4-4f0f-8c0f-4b62e01aaa14
Angerville-Bailleul,Mairie - Angerville-Bailleul,mairie.angerville.bailleul@wanadoo.fr,10 route de l'École,76110,Angerville-Bailleul,https://lannuaire.service-public.gouv.fr/normandie/seine-maritime/c30c3b6c-c9ce-41e5-a29a-1aceefa013f6
Angerville-l'Orcher,Mairie - Angerville-l'Orcher,mairie.angerville-orcher@wanadoo.fr,14 place du Général-de-Gaulle,76280,Angerville-l'Orcher,https://lannuaire.service-public.gouv.fr/normandie/seine-maritime/2a94ca54-b9a0-4094-bd76-c05d8d8412e5
Angerville-la-Martel,Mairie - Angerville-la-Martel,mairie.angerville.lamartel@wanadoo.fr,1 le Bourg Route de l'Église,76540,Angerville-la-Martel,https://lannuaire.service-public.gouv.fr/normandie/seine-maritime/ff73eb36-e9bb-48dd-b00e-388cde25fefa
Angiens,Mairie - Angiens,mairie-sg.angiens@wanadoo.fr,2 rue de la Motte,76740,Angiens,https://lannuaire.service-public.gouv.fr/normandie/seine-maritime/c853a13d-2df2-47df-9094-e29a264eaa51
Anglesqueville-l'Esneval,Mairie - Anglesqueville-l'Esneval,mairie-anglesquevillelesneval@wanadoo.fr,6 place de l'Église,76280,Anglesqueville-l'Esneval,https://lannuaire.service-public.gouv.fr/normandie/seine-maritime/4c55f493-26a3-4964-b35a-3b11be3dd470
Anglesqueville-la-Bras-Long,Mairie - Anglesqueville-la-Bras-Long,commune.anglesqueville.braslong@orange.fr,13 route de l'Église,76740,Anglesqueville-la-Bras-Long,https://lannuaire.service-public.gouv.fr/normandie/seine-maritime/caaa33de-439e-4cdb-91e7-40953589966d
Anneville-Ambourville,Mairie - Anneville-Ambourville,anneville.ambourville@orange.fr,300 rue Monseigneur-Lemonnier,76480,Anneville-Ambourville,https://lannuaire.service-public.gouv.fr/normandie/seine-maritime/0eba9342-1ffc-4d59-8092-cdecd5d134e8
Anneville-sur-Scie,Mairie - Anneville-sur-Scie,mairie@annevillesurscie.fr,37 route de Dieppe,76590,Anneville-sur-Scie,https://lannuaire.service-public.gouv.fr/normandie/seine-maritime/f63cd94b-34d6-4e2c-94c8-c86e2b05aa17
Annouville-Vilmesnil,Mairie - Annouville-Vilmesnil,mairie@annouville-vilmesnil.fr,6 rue de la Mairie,76110,Annouville-Vilmesnil,https://lannuaire.service-public.gouv.fr/normandie/seine-maritime/46e7f748-b8e3-42a2-97d0-82320f0897e8
Anquetierville,Mairie - Anquetierville,mairie-anquetierville2@wanadoo.fr,243 route de l'Église,76490,Anquetierville,https://lannuaire.service-public.gouv.fr/normandie/seine-maritime/5d56edee-0f50-4094-a664-c6cf36133d6f
Anvéville,Mairie - Anvéville,mairie.anveville@gmail.com,315 Grande rue,76560,Anvéville,https://lannuaire.service-public.gouv.fr/normandie/seine-maritime/ffab979b-a71c-485d-901a-57a0bf83244d
Ardouval,Mairie - Ardouval,mairie.ardouval@mcom.fr,7 rue des Bouleaux,76680,Ardouval,https://lannuaire.service-public.gouv.fr/normandie/seine-maritime/acb32b28-38c8-40ac-a43e-4b63c95afa9c
Arelaune-en-Seine,Mairie - Arelaune-en-Seine,accueil@arelauneenseine.fr,La Mailleraye-sur-Seine 1 place Henri-Malou,76940,Arelaune-en-Seine,https://lannuaire.service-public.gouv.fr/normandie/seine-maritime/8c65b79d-01dc-430e-9194-38475f1689ab
Argueil,Mairie - Argueil,mairie@argueil.fr,3 place du Marché-aux-Étoupes,76780,Argueil,https://lannuaire.service-public.gouv.fr/normandie/seine-maritime/0cd5c3ce-a03f-4aae-86d0-c58e4b691852
Arques-la-Bataille,Mairie - Arques-la-Bataille,mairie@ville-arques-la-bataille.fr,Place Pierre-Desceliers,76880,Arques-la-Bataille,https://lannuaire.service-public.gouv.fr/normandie/seine-maritime/3ab58d43-8164-4aff-af39-6aa46cf02bfe
Aubermesnil-Beaumais,Mairie - Aubermesnil-Beaumais,mairie@aubermesnil-b.fr,32 rue Henri-IV,76550,Aubermesnil-Beaumais,https://lannuaire.service-public.gouv.fr/normandie/seine-maritime/c993aac4-94c6-4bb9-8604-8ef68cfa2c89
Aubermesnil-aux-Érables,Mairie - Aubermesnil-aux-Érables,mairie.aubermesnilauxerables@wanadoo.fr,8 rue de l'Église,76340,Aubermesnil-aux-Érables,https://lannuaire.service-public.gouv.fr/normandie/seine-maritime/76a095d3-95ed-447e-a836-8542657f7cfd
Auberville-la-Manuel,Mairie - Auberville-la-Manuel,mairie.aubervillelamanuel@orange.fr,10 rue Roquigny,76450,Auberville-la-Manuel,https://lannuaire.service-public.gouv.fr/normandie/seine-maritime/db09dca6-c95d-4e79-a21b-9232b0e9f9ca
Auberville-la-Renault,Mairie - Auberville-la-Renault,mairieaubervillelarenault@orange.fr,169 rue de la Mairie,76110,Auberville-la-Renault,https://lannuaire.service-public.gouv.fr/normandie/seine-maritime/b8d1d58d-5ee4-4400-8c44-6d619c51e19b
Aubéguimont,Mairie - Aubéguimont,mairie-aubeguimont@outlook.com,27 rue Centrale,76390,Aubéguimont,https://lannuaire.service-public.gouv.fr/normandie/seine-maritime/dfae774a-4bbe-4441-a1c8-8ccd850a513c
Aumale,Mairie - Aumale,mairie@ville-aumale.fr,6 rue de l'Hôtel-de-Ville,76390,Aumale,https://lannuaire.service-public.gouv.fr/normandie/seine-maritime/45bd61a9-0e9e-4286-847b-f69231b50400
Auppegard,Mairie - Auppegard,mairie-auppegard@wanadoo.fr,Place Jacob-Bontemps,76730,Auppegard,https://lannuaire.service-public.gouv.fr/normandie/seine-maritime/c21b7fa8-b73a-4a4e-9db5-20e433575a0d
Authieux-Ratiéville,Mairie - Authieux-Ratiéville,mairie.authieuxratieville@orange.fr,379 rue de l'École,76690,Authieux-Ratiéville,https://lannuaire.service-public.gouv.fr/normandie/seine-maritime/28103a3f-248e-4561-817f-4267b3fe70c0
Autigny,Mairie - Autigny,mairiedeautigny@wanadoo.fr,Lotissement les Fleurs,76740,Autigny,https://lannuaire.service-public.gouv.fr/normandie/seine-maritime/00bdfa6a-e900-4c03-b32c-b23d5f22a1ad
Auvilliers,Mairie - Auvilliers,auvilliers.mairie@orange.fr,2 route de l'Aventure,76270,Auvilliers,https://lannuaire.service-public.gouv.fr/normandie/seine-maritime/5e8d6e5b-8130-4986-a79b-370bfeb3dce8
Auzebosc,Mairie - Auzebosc,mairie-dauzebosc@orange.fr,2 rue Hutcheson,76190,Auzebosc,https://lannuaire.service-public.gouv.fr/normandie/seine-maritime/8aa8af26-4b4f-4b2c-8e03-2ec15a2aa1d2
Auzouville-l'Esneval,Mairie - Auzouville-l'Esneval,mairie-sg.auzouvillelesneval@wanadoo.fr,Route d'Étennemare,76760,Auzouville-l'Esneval,https://lannuaire.service-public.gouv.fr/normandie/seine-maritime/9303aab5-d862-43af-8699-dfe25bdcaae6
Auzouville-sur-Ry,Mairie - Auzouville-sur-Ry,mairie@auzouvillesurry.fr,84 chemin de la Côte,76116,Auzouville-sur-Ry,https://lannuaire.service-public.gouv.fr/normandie/seine-maritime/4a60faef-ffa7-433f-a597-1f62fd53114c
Auzouville-sur-Saâne,Mairie - Auzouville-sur-Saâne,mairie.auzouvillesaane@gmail.com,20 bis route de la Mer,76730,Auzouville-sur-Saâne,https://lannuaire.service-public.gouv.fr/normandie/seine-maritime/a5ae263e-1acf-4797-86f9-d552e5a3148d
Avesnes-en-Bray,Mairie - Avesnes-en-Bray,mairie-sg.avesnesenbray@wanadoo.fr,3 place de la Petite-Morette,76220,Avesnes-en-Bray,https://lannuaire.service-public.gouv.fr/normandie/seine-maritime/f625574c-9391-4e48-bbac-0b92facfa3f7
Avesnes-en-Val,Mairie - Avesnes-en-Val,secretariat@mairie-avesnes-en-val.fr,10 le Bourg,76630,Avesnes-en-Val,https://lannuaire.service-public.gouv.fr/normandie/seine-maritime/4e7ed451-1216-4cd6-9450-7bd07bc3b020
Avremesnil,Mairie - Avremesnil,mairie.avremesnil@orange.fr,333 Grande-Rue,76730,Avremesnil,https://lannuaire.service-public.gouv.fr/normandie/seine-maritime/d0abd52c-19cf-488c-8eee-30431fa1c66c
Bacqueville-en-Caux,Mairie - Bacqueville-en-Caux,contact@bacquevilleencaux.fr,Place du Général-de-Gaulle,76730,Bacqueville-en-Caux,https://lannuaire.service-public.gouv.fr/normandie/seine-maritime/0e117f13-168e-4574-b9c9-c06264acdfe8
Bailleul-Neuville,Mairie - Bailleul-Neuville,mairie.bailleulneuville@orange.fr,Le Bourg,76660,Bailleul-Neuville,https://lannuaire.service-public.gouv.fr/normandie/seine-maritime/f15820d8-ca2f-43a0-833c-e847672dc9de
Baillolet,Mairie - Baillolet,mairie-baillolet@orange.fr,3 rue de l'École,76660,Baillolet,https://lannuaire.service-public.gouv.fr/normandie/seine-maritime/454c7601-bdff-449a-b348-aaaefcdc59c6
Bailly-en-Rivière,Mairie - Bailly-en-Rivière,bailly.en.riviere@wanadoo.fr,2 rue des Écoles,76630,Bailly-en-Rivière,https://lannuaire.service-public.gouv.fr/normandie/seine-maritime/cb8b2d0f-cd14-46f3-8fe3-c38040d3c6be
Baons-le-Comte,Mairie - Baons-le-Comte,mairie.baonslecomte@wanadoo.fr,8 route du Bois-Locrel,76190,Baons-le-Comte,https://lannuaire.service-public.gouv.fr/normandie/seine-maritime/518d440b-185a-4d7c-8b71-327ea74db28a
Bardouville,Mairie - Bardouville,mairie-sg.bardouville@wanadoo.fr,247 rue de l'École,76480,Bardouville,https://lannuaire.service-public.gouv.fr/normandie/seine-maritime/7baae314-91d5-4aaa-b6bb-0449d1378fcf
